Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2685;0,37;44030389230;16512606;10;2660;2695;2620;-;ECOPETROL;EQTY
PFCIBEST;73980;-0,7;13975972820;189745;-520;74500;74500;73020;-;Grupo Cibest S.A.;EQTY
ICOLCAP;23535;0,16;12103984080,5;516097;37;23440;23535;23400;-;FONDO BURSATIL ISHARES COLCAP;EQTY
GEB;2915;1,75;9846537795;3396992;50;2900;2920;2850;-;GRUPO ENERGIA BOGOTA;EQTY
ISA;29800;-0,33;4397232240;147198;-100;29900;29900;29640;-;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPSURA;45760;2,37;4145648240;92243;1060;44600;45760;44140;-;GRUPO SURA;EQTY
CEMARGOS;11000;-0,18;3425482080;312093;-20;10980;11020;10920;-;CEMENTOS ARGOS;EQTY
CIBEST;87600;-2,04;3172912240;35988;-1820;88000;88960;87500;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;12900;0,16;3110812340;240952;20;12880;13080;12720;-;GRUPO ARGOS;EQTY
GRUPOSURA;55000;0,07;2056821320;37416;40;54800;55000;54640;-;GRUPO SURA;EQTY
GRUPOARGOS;16760;-0,83;1441994020;85880;-140;16800;16900;16540;-;GRUPO ARGOS;EQTY
PFAVAL;842;-0,24;1421342351;1688164;-2;844;847;829;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
GXTESCOL;59750;0,93;995465250;16704;550;59900;59900;59550;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
CORFICOLCF;20500;-;754149340;37024;-;20020;20580;20000;-;CORFICOLOMBIANA;EQTY
MINEROS;15940;-;605263220;37929;-;16000;16080;15820;-;MINEROS;EQTY
PEI;65560;0,12;597278160;9127;80;65500;66000;64740;-;PEI;EQTY
BOGOTA;38800;0,21;496012780;12803;80;37900;38800;37900;-;BANCO DE BOGOTA;EQTY
PFDAVIGRP;32380;0,87;488968900;15150;280;32200;32500;31900;-;Davivienda Group;EQTY
CELSIA;4950;-1,2;461320340;92742;-60;4905;5100;4905;-;CELSIA;EQTY
BHI;369;2,5;454926177;1244648;9;361;370;361;-;BAC HOLDING INTERNATIONAL CORP;EQTY
EXITO;4710;0,11;257252115;55271;5;4585;4780;4585;-;EXITO;EQTY
PROMIGAS;6610;-0,45;250208230;37259;-30;6860;6860;6610;-;PROMIGAS;EQTY
TIN;13400;-0,74;188832260;14073;-100;13420;13440;13380;-;TITULARIZADORA COLOMBIANA;EQTY
CONCONCRET;421;-1,17;172721552;409168;-5;423;425;420;-;CONCONCRETO S.A;EQTY
TERPEL;17840;0,45;152333560;8539;80;17740;17960;17740;-;ORGANIZACION TERPEL;EQTY
GRUBOLIVAR;79320;-0,85;146187260;1829;-680;80040;81920;79120;-;GRUPO BOLIVAR;EQTY
NUTRESA;313980;-0,01;140583500;448;-20;313980;313980;313980;-;GRUPO NUTRESA;EQTY
PFDAVVNDA;24120;0,33;119072000;4935;80;24080;24500;24000;-;BANCO DAVIVIENDA;EQTY
BVC;16120;-0,62;111255580;6955;-100;15420;16200;15420;-;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;823;1,73;66296111;80566;14;819;829;819;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFCORFICOL;17940;-1,32;33121640;1834;-240;18180;18180;17940;-;CORFICOLOMBIANA;EQTY
ETB;75;6,38;30321756,5;406850;4,5;75;75;75;-;ETB;EQTY
FABRICATO;3,9;-2,5;20275294,95;5199995;-0,1;3,9;3,9;3,9;-;FABRICATO;EQTY
HCOLSEL;26222,5;0,09;14305605;544;22,5;26222,5;26222,5;26222,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFCEMARGOS;11640;-;11113140;1016;-;11640;11640;11640;-;CEMENTOS ARGOS;EQTY
ENKA;19,4;-;1099317,8;57699;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
