Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2695;-0,19;67169345365;24592733;-5;2700;2745;2690;-;ECOPETROL;EQTY
PFGRUPOARG;15800;2,33;26351516860;1687356;360;15400;15980;15160;-;GRUPO ARGOS;EQTY
PFCIBEST;75600;-0,08;14308032960;188863;-60;75020;76640;75020;-;Grupo Cibest S.A.;EQTY
CIBEST;88300;1,96;12076626160;136925;1700;86600;88500;86600;-;Grupo Cibest S.A.;EQTY
GRUPOARGOS;21360;7,01;11212816120;533343;1400;19960;21980;19960;-;GRUPO ARGOS;EQTY
ICOLCAP;24205,5;1,2;10506836646;435230;286;25000;25000;24085;-;FONDO BURSATIL ISHARES COLCAP;EQTY
PFGRUPSURA;48200;3,08;8616731740;179817;1440;47100;48660;47100;-;GRUPO SURA;EQTY
CEMARGOS;11100;1,46;8296142360;751105;160;10980;11180;10940;-;CEMENTOS ARGOS;EQTY
GRUPOSURA;59180;2,39;5928639980;101428;1380;58000;59300;57820;-;GRUPO SURA;EQTY
GEB;2860;0,35;4201659470;1477211;10;2860;2865;2825;-;GRUPO ENERGIA BOGOTA;EQTY
ISA;29200;-0,88;3259289480;111734;-260;28820;29440;28820;-;ISA INTERCONEXION ELECTRICA;EQTY
PFDAVIGRP;32820;0,06;1843822880;56023;20;32800;33380;32500;-;Davivienda Group;EQTY
CORFICOLCF;20000;-3,57;1625323800;80327;-740;20540;20780;20000;-;CORFICOLOMBIANA;EQTY
MINEROS;16960;1,56;1252938720;74367;260;16500;16960;16500;-;MINEROS;EQTY
BOGOTA;38320;-1,89;1141726760;29500;-740;39000;39000;38300;-;BANCO DE BOGOTA;EQTY
CELSIA;4960;1,12;1084591260;221899;55;4935;4960;4825;-;CELSIA;EQTY
PEI;67000;-2,05;1026139960;15228;-1400;68500;68500;66060;-;PEI;EQTY
PFAVAL;828;-1,43;930987555;1111675;-12;851;851;822;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
EXITO;4650;-1,17;509603245;108888;-55;4715;4760;4635;-;EXITO;EQTY
PFCORFICOL;17820;-1,22;436959480;24502;-220;18000;18120;17300;-;CORFICOLOMBIANA;EQTY
BHI;369;-;339357590;920480;-;366;370;363;-;BAC HOLDING INTERNATIONAL CORP;EQTY
GRUBOLIVAR;78520;-1,31;291723620;3687;-1040;79940;81900;78500;-;GRUPO BOLIVAR;EQTY
PFDAVVNDA;25060;0,97;238962020;9451;240;24700;25500;24700;-;BANCO DAVIVIENDA;EQTY
TERPEL;17960;0,79;194697220;10928;140;17820;18000;17540;-;ORGANIZACION TERPEL;EQTY
CONCONCRET;436;-0,91;157660132;359579;-4;440;442;434;-;CONCONCRETO S.A;EQTY
PROMIGAS;6440;-0,31;129530190;20130;-20;6460;6550;6360;-;PROMIGAS;EQTY
PFCEMARGOS;12620;5,87;88711300;7083;700;12700;12960;12500;-;CEMENTOS ARGOS;EQTY
BVC;15880;-0,5;62037880;3925;-80;15960;15960;15560;-;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;826;-0,6;61306988;75014;-5;816;826;815;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
TIN;13400;0,45;55920880;4172;60;13400;13400;13400;-;TITULARIZADORA COLOMBIANA;EQTY
ETB;75;-;34244749;457040;-;75;75;75;-;ETB;EQTY
GXTESCOL;59950;-0,64;23321300;389;-386;59950;59950;59950;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
HCOLSEL;27300;-0,05;14923315;550;-13,5;27315;27315;27300;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
NUTRESA;313880;-;12429720;41;-;313880;313880;313880;-;GRUPO NUTRESA;EQTY
ENKA;19,4;-;729810,9;38448;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
