Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFCIBEST;75400;-0,24;37838602300;501378;-180;75220;76000;75080;-;Grupo Cibest S.A.;EQTY
ECOPETROL;2720;-1,09;36846648530;13382828;-30;2730;2775;2715;-;ECOPETROL;EQTY
HCOLSEL;27986,5;2,51;9912098389,5;357082;686,5;27754;27986,5;27754;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CEMARGOS;11140;-;9675319020;862223;-;11200;11440;11020;-;CEMENTOS ARGOS;EQTY
PFGRUPOARG;15960;-0,62;8619028340;536053;-100;16180;16280;15820;-;GRUPO ARGOS;EQTY
GRUPOARGOS;21900;0,46;7827470840;356475;100;22000;22200;21680;-;GRUPO ARGOS;EQTY
GRUPOSURA;58000;-0,85;6094037860;105419;-500;58320;58320;57000;-;GRUPO SURA;EQTY
PFGRUPSURA;47960;-0,08;5716376220;119345;-40;47800;48500;47300;-;GRUPO SURA;EQTY
ISA;29000;-0,89;4523912620;156017;-260;29340;29340;28860;-;ISA INTERCONEXION ELECTRICA;EQTY
CIBEST;88340;-0,07;4119357080;46778;-60;87300;88720;87300;-;Grupo Cibest S.A.;EQTY
GEB;2825;-0,7;4037359145;1429038;-20;2850;2850;2815;-;GRUPO ENERGIA BOGOTA;EQTY
MINEROS;17300;2,25;3187385520;185094;380;17000;17320;17000;-;MINEROS;EQTY
PFAVAL;850;0,24;1704076457;2013958;2;846;850;830;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;21000;1,06;1163417460;56785;220;20700;21000;20140;-;CORFICOLOMBIANA;EQTY
CELSIA;4885;-1,71;1005403340;206529;-85;4940;4940;4815;-;CELSIA;EQTY
EXITO;4710;2,17;798704030;170240;100;4620;4745;4595;-;EXITO;EQTY
PFDAVIGRP;32800;0,92;725669900;22288;300;33000;33000;32100;-;Davivienda Group;EQTY
CONCONCRET;434;-;713532835;1634081;-;434;443;434;-;CONCONCRETO S.A;EQTY
PEI;66520;-0,15;406778020;6114;-100;66000;67900;65000;-;PEI;EQTY
GRUBOLIVAR;78760;0,31;393546180;5013;240;78460;79000;78300;-;GRUPO BOLIVAR;EQTY
TERPEL;17760;-1,11;371146200;20830;-200;18100;18100;17680;-;ORGANIZACION TERPEL;EQTY
TIN;13240;-0,15;307339860;23316;-20;13160;13280;13020;-;TITULARIZADORA COLOMBIANA;EQTY
BOGOTA;38900;0,15;235988500;6068;60;38900;39000;38660;-;BANCO DE BOGOTA;EQTY
PFCORFICOL;18020;-1,31;180825120;10014;-240;18200;18200;17900;-;CORFICOLOMBIANA;EQTY
ICOLCAP;24194,5;0,27;92911888,5;3833;64,5;24500;24500;24172,5;-;FONDO BURSATIL ISHARES COLCAP;EQTY
BVC;15620;-2,86;84167600;5369;-460;16000;16000;15540;-;BOLSA DE VALORES DE COLOMBIA;EQTY
PROMIGAS;6360;-0,31;78866280;12380;-20;6360;6400;6360;-;PROMIGAS;EQTY
PFDAVVNDA;24940;-2,04;77860260;3113;-520;25300;25300;24800;-;BANCO DAVIVIENDA;EQTY
OCCIDENTE;21000;-;77700000;3700;-;21000;21000;21000;-;BANCO DE OCCIDENTE;EQTY
GXTESCOL;60000;0,33;53224250;888;200;59800;60000;59800;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ETB;73;0,69;38652207,5;536078;0,5;73;73;71;-;ETB;EQTY
BHI;367;-0,54;31886000;86737;-2;367;367;367;-;BAC HOLDING INTERNATIONAL CORP;EQTY
PFCEMARGOS;12980;0,15;28671640;2214;20;12980;12980;12980;-;CEMENTOS ARGOS;EQTY
ENKA;19,4;-;9353199,2;497171;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
GRUPOAVAL;834;-;9164359;11121;-;834;834;834;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
NUTRESA;313740;-;5563000;18;-;313740;313740;313740;-;GRUPO NUTRESA;EQTY
