Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2630;-2,05;118498003995;45539536;-55;2665;2665;2580;-;ECOPETROL;EQTY
PFCIBEST;72340;-2,22;21469826660;296107;-1640;73100;73980;71600;-;Grupo Cibest S.A.;EQTY
CIBEST;88980;1,58;8479697200;95510;1380;86860;89580;86860;-;Grupo Cibest S.A.;EQTY
ISA;30600;2,68;7688278840;255928;800;29340;30600;29340;-;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;23366;-0,72;7079810372;303022;-169;24000;24000;23330;-;FONDO BURSATIL ISHARES COLCAP;EQTY
GXTESCOL;59480;-0,45;5957515050;100159;-270;59480;59480;59480;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
PFGRUPOARG;12960;0,47;5566121520;431161;60;12900;13020;12760;-;GRUPO ARGOS;EQTY
PFDAVIGRP;31900;-1,48;3711722520;116343;-480;31900;32200;31800;-;Davivienda Group;EQTY
GRUPOARGOS;16800;0,24;2744487160;164791;40;16800;16800;16460;-;GRUPO ARGOS;EQTY
PFGRUPSURA;45000;-1,66;2684621040;59254;-760;45700;45760;45000;-;GRUPO SURA;EQTY
CEMARGOS;10860;-1,27;2383724140;217751;-140;11000;11100;10800;-;CEMENTOS ARGOS;EQTY
PFAVAL;844;0,24;2246794942;2679249;2;833;844;833;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;20520;0,1;2104544140;101706;20;20100;20900;20100;-;CORFICOLOMBIANA;EQTY
GEB;2905;-0,34;1512875315;521195;-10;2915;2915;2895;-;GRUPO ENERGIA BOGOTA;EQTY
PEI;66560;1,53;1275471380;19228;1000;66000;66580;65000;-;PEI;EQTY
GRUPOSURA;54320;-1,24;1161462000;21257;-680;55000;55000;54320;-;GRUPO SURA;EQTY
BOGOTA;38800;-;819831480;21152;-;38800;39000;38400;-;BANCO DE BOGOTA;EQTY
MINEROS;16160;1,38;611267200;37851;220;16100;16280;16000;-;MINEROS;EQTY
CELSIA;4945;-0,1;592070350;119533;-5;5020;5020;4905;-;CELSIA;EQTY
PFCORFICOL;18180;1,34;336348340;18520;240;17980;18200;17980;-;CORFICOLOMBIANA;EQTY
TERPEL;18120;1,57;241014320;13356;280;18000;18120;17800;-;ORGANIZACION TERPEL;EQTY
EXITO;4800;1,91;233009845;48575;90;4800;4820;4750;-;EXITO;EQTY
PROMIGAS;6600;-0,15;172666350;26136;-10;6620;6620;6570;-;PROMIGAS;EQTY
NUTRESA;313880;-0,03;142006900;456;-100;300000;313980;300000;-;GRUPO NUTRESA;EQTY
BHI;369;-;140246196;380514;-;368;370;368;-;BAC HOLDING INTERNATIONAL CORP;EQTY
TIN;13480;0,6;90982040;6748;80;13500;13500;13400;-;TITULARIZADORA COLOMBIANA;EQTY
PFCEMARGOS;11000;-5,5;87783540;8041;-640;10500;11480;10500;-;CEMENTOS ARGOS;EQTY
CONCONCRET;421;-;73590764;174788;-;420;424;419;-;CONCONCRETO S.A;EQTY
GRUPOAVAL;820;-0,36;72740213;88754;-3;823;823;819;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUBOLIVAR;79520;0,25;69729720;877;200;80600;80600;79100;-;GRUPO BOLIVAR;EQTY
BVC;15840;-1,74;48601220;3053;-280;15840;15840;15840;-;BOLSA DE VALORES DE COLOMBIA;EQTY
PFDAVVNDA;24460;1,41;43953000;1815;340;23840;24460;23840;-;BANCO DAVIVIENDA;EQTY
HCOLSEL;26222,5;-;6975614,5;263;-;26222,5;26222,5;26222,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ETB;75;-;4207055;54679;-;75;75;75;-;ETB;EQTY
ENKA;19,4;-;2749669,6;145543;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
