Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2750;2,04;32103405280;11716752;55;2745;2770;2710;-;ECOPETROL;EQTY
PFCIBEST;75580;-0,03;25110135100;332472;-20;75500;76500;75000;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;16060;1,65;23150486780;1448389;260;15880;16260;15740;-;GRUPO ARGOS;EQTY
GRUPOARGOS;21800;2,06;21077836680;963598;440;21400;22340;21360;-;GRUPO ARGOS;EQTY
PFGRUPSURA;48000;-0,41;9131462460;191124;-200;46780;48600;46780;-;GRUPO SURA;EQTY
ICOLCAP;24130;-0,31;8260411168;340905;-75,5;24255,5;24400,5;24127,5;-;FONDO BURSATIL ISHARES COLCAP;EQTY
CEMARGOS;11140;0,36;7784232740;699423;40;11200;11200;11060;-;CEMENTOS ARGOS;EQTY
ISA;29260;0,21;6665240960;229007;60;29000;29460;28700;-;ISA INTERCONEXION ELECTRICA;EQTY
CIBEST;88400;0,11;6376098540;72557;100;86680;88400;86680;-;Grupo Cibest S.A.;EQTY
GRUPOSURA;58500;-1,15;4961771500;85460;-680;56420;58800;56420;-;GRUPO SURA;EQTY
CORFICOLCF;20780;3,9;3672678160;177231;780;20480;21060;20200;-;CORFICOLOMBIANA;EQTY
PFDAVIGRP;32500;-0,98;2708647160;82633;-320;33180;33300;32120;-;Davivienda Group;EQTY
GEB;2845;-0,52;1532106940;538174;-15;2880;2880;2825;-;GRUPO ENERGIA BOGOTA;EQTY
PFAVAL;848;2,42;1405627732;1649652;20;840;859;840;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
MINEROS;16920;-0,24;1321379720;78415;-40;17000;17000;16520;-;MINEROS;EQTY
PEI;66620;-0,57;1318688400;19775;-380;66800;67000;66000;-;PEI;EQTY
CELSIA;4970;0,2;757250465;153930;10;4990;4990;4840;-;CELSIA;EQTY
PFCORFICOL;18260;2,47;375890020;20558;440;18000;18500;18000;-;CORFICOLOMBIANA;EQTY
TIN;13260;-1,04;344260180;26069;-140;13480;13480;13000;-;TITULARIZADORA COLOMBIANA;EQTY
EXITO;4610;-0,86;333088080;71615;-40;4630;4700;4600;-;EXITO;EQTY
TERPEL;17960;-;270307800;14989;-;18220;18360;17720;-;ORGANIZACION TERPEL;EQTY
PROMIGAS;6380;-0,93;217110500;33996;-60;6440;6460;6350;-;PROMIGAS;EQTY
GRUBOLIVAR;78520;-;217012680;2756;-;80000;80000;78500;-;GRUPO BOLIVAR;EQTY
PFDAVVNDA;25460;1,6;210030060;8354;400;25060;25460;24700;-;BANCO DAVIVIENDA;EQTY
CONCONCRET;434;-0,46;184892978;424505;-2;430;439;430;-;CONCONCRETO S.A;EQTY
BOGOTA;38840;1,36;129116940;3321;520;38800;39460;38300;-;BANCO DE BOGOTA;EQTY
GRUPOAVAL;834;0,97;117346404;141096;8;832;837;828;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
NUTRESA;313740;-0,04;79592480;255;-140;313840;313840;313500;-;GRUPO NUTRESA;EQTY
BBVACOL;210;-;74319000;353900;-;210;210;210;-;BBVA COLOMBIA;EQTY
ETB;72,5;-3,33;34167910;465557;-2,5;75;75;72,5;-;ETB;EQTY
BHI;369;-;28977199;78127;-;379;379;369;-;BAC HOLDING INTERNATIONAL CORP;EQTY
PFCEMARGOS;12960;2,69;23175400;1824;340;12960;12960;12960;-;CEMENTOS ARGOS;EQTY
GXTESCOL;59800;-0,25;17125650;286;-150;59800;59800;59800;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
BVC;16080;1,26;16591160;1035;200;16080;16080;16080;-;BOLSA DE VALORES DE COLOMBIA;EQTY
ENKA;19,4;-;8498137,3;447615;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
HCOLSEL;27300;-;4834911,5;175;-;27300;27300;27300;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
VILLAS;2400;-;1311000;874;-;2400;2400;2400;-;BANCO AV VILLAS;EQTY
