Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
GRUPOARGOS;18780;7,93;7681221540;423023;1380;17400;18900;17280;-;GRUPO ARGOS;EQTY
PFGRUPOARG;14700;6,52;21926587740;1506271;900;13860;14720;13840;-;GRUPO ARGOS;EQTY
CIBEST;86340;3,38;13958720040;165165;2820;83440;86980;82820;-;Grupo Cibest S.A.;EQTY
PFCEMARGOS;11780;3,33;45465940;3885;380;11780;11780;11780;-;CEMENTOS ARGOS;EQTY
CORFICOLCF;21220;2,02;377116340;17834;420;21000;21300;21000;-;CORFICOLOMBIANA;EQTY
PFCIBEST;72200;1,55;31052273980;433880;1100;71060;72340;70480;-;Grupo Cibest S.A.;EQTY
MINEROS;17060;1,31;2359454500;140087;220;17300;17300;16540;-;MINEROS;EQTY
GXTESCOL;60250;1,09;48670747;811;650;60000;60250;60000;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ICOLCAP;23504;0,87;2885213952;123860;202;23504;23999,5;22937;-;FONDO BURSATIL ISHARES COLCAP;EQTY
BHI;374;0,81;65109410;174287;3;370;375;370;-;BAC HOLDING INTERNATIONAL CORP;EQTY
GRUPOSURA;54000;0,75;2411664500;44790;400;53260;54700;53260;-;GRUPO SURA;EQTY
BOGOTA;39000;0,26;309664640;7930;100;39000;39900;38800;-;BANCO DE BOGOTA;EQTY
CONCONCRET;423;0,24;79621829;188000;1;423;424;423;-;CONCONCRETO S.A;EQTY
TIN;13500;0,15;149014000;11046;20;13400;13500;13400;-;TITULARIZADORA COLOMBIANA;EQTY
PFAVAL;826;0,12;171152649;206619;1;818;840;816;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
NUTRESA;313980;0,09;14185740;46;280;313980;313980;313980;-;GRUPO NUTRESA;EQTY
PFGRUPSURA;44120;-0,27;1732003020;39347;-120;44340;44400;43500;-;GRUPO SURA;EQTY
HCOLSEL;26131,5;-0,35;10719144;409;-91;26131,5;26131,5;26131,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFCORFICOL;18380;-0,54;186321940;10107;-100;18300;18540;18300;-;CORFICOLOMBIANA;EQTY
TERPEL;17840;-0,67;85275580;4778;-120;17960;17960;17700;-;ORGANIZACION TERPEL;EQTY
GRUBOLIVAR;79220;-0,8;270089860;3407;-640;79000;80960;79000;-;GRUPO BOLIVAR;EQTY
ISA;29260;-0,81;5587071400;191235;-240;29400;29880;29000;-;ISA INTERCONEXION ELECTRICA;EQTY
GEB;2865;-0,87;2293389345;800377;-25;2875;2910;2840;-;GRUPO ENERGIA BOGOTA;EQTY
PEI;67000;-0,95;993639600;14730;-640;67000;68400;66520;-;PEI;EQTY
GRUPOAVAL;822;-1,2;43165161;53057;-10;805;822;805;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;15520;-1,77;17816200;1136;-280;15520;15520;15520;-;BOLSA DE VALORES DE COLOMBIA;EQTY
EXITO;4655;-2,31;308145055;65319;-110;4845;4845;4575;-;EXITO;EQTY
PFDAVVNDA;23900;-2,85;457379120;19296;-700;24000;24280;23520;-;BANCO DAVIVIENDA;EQTY
ECOPETROL;2680;-3,25;83724041515;30951468;-90;2735;2735;2680;-;ECOPETROL;EQTY
CEMARGOS;10900;-;4243803220;387862;-;10900;11060;10800;-;CEMENTOS ARGOS;EQTY
CELSIA;4900;-1,9;1196182730;243890;-95;5000;5000;4835;-;CELSIA;EQTY
PROMIGAS;6610;-;537661580;81390;-;6610;6700;6590;-;PROMIGAS;EQTY
PFDAVIGRP;32000;-;355211240;11144;-;31820;32000;31800;-;Davivienda Group;EQTY
FABRICATO;3,5;-4,11;35000000;10000000;-0,15;3,5;3,5;3,5;-;FABRICATO;EQTY
ETB;75;-;8805790,5;118596;-;75;75;75;-;ETB;EQTY
OCCIDENTE;21000;-;1661400;78;-;21000;21000;21000;-;BANCO DE OCCIDENTE;EQTY
CORFERIAS;1500;-;1520000;800;-;1500;1500;1500;-;CORFERIAS;EQTY
ENKA;19,4;-;781145,4;42238;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
