Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFGRUPOARG;15440;3,62;22116433880;1452460;540;15500;15740;14900;-;GRUPO ARGOS;EQTY
GRUPOARGOS;19960;3,1;6264936700;318624;600;19600;19980;19000;-;GRUPO ARGOS;EQTY
PROTECCION;82000;2,5;41000000;500;2000;82000;82000;82000;-;ADM DE FONDOS Y CES PROTECCION;EQTY
GRUPOAVAL;831;2,21;124657710;150048;18;823;836;823;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
ECOPETROL;2700;1,69;75920759795;28519367;45;2650;2700;2560;-;ECOPETROL;EQTY
GXTESCOL;60336;1,23;509988250;8452;736;60350;60350;59950;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
PFCIBEST;75660;0,85;13501598120;178940;640;75100;76040;75000;-;Grupo Cibest S.A.;EQTY
CONCONCRET;440;0,69;238404169;540332;3;449;450;435;-;CONCONCRETO S.A;EQTY
PFDAVVNDA;24820;0,65;296929860;12004;160;24240;24960;24240;-;BANCO DAVIVIENDA;EQTY
TERPEL;17820;0,56;158078800;8891;100;17700;17960;17540;-;ORGANIZACION TERPEL;EQTY
PFDAVIGRP;32800;0,31;7670666560;234804;100;32100;33000;32100;-;Davivienda Group;EQTY
PEI;68400;0,18;175474740;2574;120;67020;68600;67020;-;PEI;EQTY
ISA;29460;0,14;6492480480;222700;40;29400;29460;28800;-;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPSURA;46760;0,04;2437972960;51947;20;46720;47300;46720;-;GRUPO SURA;EQTY
GRUBOLIVAR;79560;-0,05;294547480;3703;-40;79500;79880;78640;-;GRUPO BOLIVAR;EQTY
ICOLCAP;23919,5;-0,06;14848517984;619261;-13,5;24000;24060;23830;-;FONDO BURSATIL ISHARES COLCAP;EQTY
BVC;15960;-0,13;11773600;748;-20;15960;15960;15960;-;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOSURA;57800;-0,34;6461178180;111950;-200;58000;58000;56220;-;GRUPO SURA;EQTY
EXITO;4705;-0,53;163666475;34862;-25;4625;4740;4625;-;EXITO;EQTY
BHI;369;-0,54;481014983;1298328;-2;371;372;367;-;BAC HOLDING INTERNATIONAL CORP;EQTY
BOGOTA;39060;-0,81;343147560;8778;-320;39460;39480;38660;-;BANCO DE BOGOTA;EQTY
CELSIA;4905;-1,01;352459115;71549;-50;4970;4985;4900;-;CELSIA;EQTY
TIN;13340;-1,04;290727200;21756;-140;13480;13480;13220;-;TITULARIZADORA COLOMBIANA;EQTY
GEB;2850;-1,21;2248232590;787606;-35;2880;2890;2840;-;GRUPO ENERGIA BOGOTA;EQTY
CIBEST;86600;-1,48;5736378920;65632;-1300;86300;88540;86300;-;Grupo Cibest S.A.;EQTY
MINEROS;16700;-1,65;1367144500;82306;-280;16800;16800;16320;-;MINEROS;EQTY
PFAVAL;840;-1,75;1047943231;1235219;-15;860;860;840;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
CEMARGOS;10940;-2,32;5828299160;527713;-260;11220;11220;10900;-;CEMENTOS ARGOS;EQTY
PFCORFICOL;18040;-2,49;421897100;23069;-460;18500;18600;18000;-;CORFICOLOMBIANA;EQTY
PROMIGAS;6460;-2,71;459572940;71346;-180;6420;6640;6340;-;PROMIGAS;EQTY
CORFICOLCF;20740;-4,86;1207476060;57530;-1060;21900;21900;20720;-;CORFICOLOMBIANA;EQTY
PFCEMARGOS;11920;-;16367380;1397;-;11920;11920;11920;-;CEMENTOS ARGOS;EQTY
NUTRESA;313880;-;6708560;22;-;313880;313880;313880;-;GRUPO NUTRESA;EQTY
HCOLSEL;27313,5;-;3861581,5;143;-;27313,5;27313,5;27313,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ELCONDOR;579;-;1941508;4453;-;579;579;579;-;EL CONDOR;EQTY
ETB;75;-;184856;2451;-;75;75;75;-;ETB;EQTY
ENKA;19,4;-;36160,8;1976;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
