Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2695;-0,92;47243728425;17232526;-25;2750;2780;2695;-;ECOPETROL;EQTY
PFCIBEST;75800;0,53;27861136080;367994;400;76000;76320;75100;-;Grupo Cibest S.A.;EQTY
HCOLSEL;27476,5;-1,82;15686641513;569528;-510;27607;27607;27357;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFGRUPOARG;15400;-3,51;13253893000;850263;-560;15940;15960;15200;-;GRUPO ARGOS;EQTY
CIBEST;88520;0,2;11052351260;125556;180;88340;88640;86800;-;Grupo Cibest S.A.;EQTY
CEMARGOS;10800;-3,05;10556668820;974090;-340;11160;11180;10740;-;CEMENTOS ARGOS;EQTY
GRUPOSURA;59300;2,24;10353527000;177698;1300;58180;59300;57000;-;GRUPO SURA;EQTY
ISA;28820;-0,62;9295020140;322492;-180;29000;29160;28560;-;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOARGOS;20960;-4,29;8365445960;395015;-940;21920;21920;20780;-;GRUPO ARGOS;EQTY
PFGRUPSURA;47660;-0,63;6163150580;129777;-300;47960;48000;47000;-;GRUPO SURA;EQTY
MINEROS;17580;1,62;4234393840;243082;280;17300;17580;17020;-;MINEROS;EQTY
GEB;2830;0,18;2483050295;876926;5;2850;2850;2810;-;GRUPO ENERGIA BOGOTA;EQTY
ICOLCAP;24049,5;-0,6;2270471265,5;94247;-145;24194;24210;23974;-;FONDO BURSATIL ISHARES COLCAP;EQTY
EXITO;4725;0,32;1943981065;414047;15;4760;4760;4660;-;EXITO;EQTY
PFDAVIGRP;33180;1,16;1717015580;52358;380;32140;33180;32140;-;Davivienda Group;EQTY
PEI;66000;-0,78;1548870140;23392;-520;67500;67500;65800;-;PEI;EQTY
CORFICOLCF;21140;0,67;932903320;44588;140;20800;21300;20700;-;CORFICOLOMBIANA;EQTY
TERPEL;17900;0,79;778235600;43493;140;18180;18180;17800;-;ORGANIZACION TERPEL;EQTY
PFAVAL;834;-1,88;659040834;787883;-16;839;841;834;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
CELSIA;4820;-1,33;513250680;105894;-65;4895;4895;4820;-;CELSIA;EQTY
BOGOTA;38620;-0,72;483991320;12617;-280;38700;38700;37520;-;BANCO DE BOGOTA;EQTY
CONCONCRET;421;-3;344638273;803670;-13;434;438;421;-;CONCONCRETO S.A;EQTY
TIN;13220;-0,15;281331560;21360;-20;13320;13320;13000;-;TITULARIZADORA COLOMBIANA;EQTY
PROMIGAS;6340;-0,31;127737750;20112;-20;6400;6400;6310;-;PROMIGAS;EQTY
GRUBOLIVAR;78420;-0,43;122967620;1568;-340;79000;79000;78320;-;GRUPO BOLIVAR;EQTY
PFCORFICOL;18080;0,33;114955280;6346;60;18300;18300;18000;-;CORFICOLOMBIANA;EQTY
PFDAVVNDA;24900;-0,16;68771280;2761;-40;24940;25160;24660;-;BANCO DAVIVIENDA;EQTY
PFCEMARGOS;12440;-4,16;66959160;5379;-540;12180;12720;12180;-;CEMENTOS ARGOS;EQTY
OCCIDENTE;21000;-;49350000;2350;-;21000;21000;21000;-;BANCO DE OCCIDENTE;EQTY
BHI;368;0,27;46441590;126253;1;369;369;367;-;BAC HOLDING INTERNATIONAL CORP;EQTY
ENKA;19,2;-1,03;27033306,2;1455130;-0,2;18;19,2;18;-;Enka de Colombia;EQTY
BVC;15600;-0,13;23522360;1505;-20;15600;15620;15600;-;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;3,66;4,57;10980000;3000000;0,16;3,66;3,66;3,66;-;FABRICATO;EQTY
GRUPOAVAL;833;-0,12;9167333;11035;-1;833;833;833;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
NUTRESA;313740;-;8435040;28;-;313740;313740;313740;-;GRUPO NUTRESA;EQTY
ETB;73;-;6920196;92312;-;73;73;73;-;ETB;EQTY
GXTESCOL;60000;-;2277600;38;-;60000;60000;60000;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
