Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2770;6,74;100790768690;37219890;175;2645;2770;2630;-;ECOPETROL;EQTY
PFGRUPOARG;13800;5,34;16336896560;1186225;700;13500;13960;13500;-;GRUPO ARGOS;EQTY
PFCIBEST;71100;-1,25;16205446380;226049;-900;71500;72860;71020;-;Grupo Cibest S.A.;EQTY
GRUPOARGOS;17400;5,97;13940789680;812834;980;17000;17400;16900;-;GRUPO ARGOS;EQTY
CIBEST;83520;-2,06;7055983360;82864;-1760;86000;86880;83000;-;Grupo Cibest S.A.;EQTY
CEMARGOS;10900;-1,27;4943010560;450071;-140;11020;11200;10900;-;CEMENTOS ARGOS;EQTY
ISA;29500;-;4356525120;147088;-;30000;30100;29500;-;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;23302;-0,58;3250729743;139238;-137;23439;23439;23300;-;FONDO BURSATIL ISHARES COLCAP;EQTY
MINEROS;16840;-0,94;3244872720;190239;-160;17000;17340;16620;-;MINEROS;EQTY
PFGRUPSURA;44240;-0,81;2704273420;60724;-360;44600;44880;44020;-;GRUPO SURA;EQTY
GEB;2890;-0,86;2472280140;851568;-25;2920;2920;2880;-;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;4995;1,32;1746039060;348249;65;4990;5050;4990;-;CELSIA;EQTY
CORFICOLCF;20800;1,96;1542288040;73987;400;20900;20960;20540;-;CORFICOLOMBIANA;EQTY
GRUPOSURA;53600;-1,29;988123440;18353;-700;54020;54340;53540;-;GRUPO SURA;EQTY
PFCORFICOL;18480;0,98;934499840;50754;180;18380;18500;18320;-;CORFICOLOMBIANA;EQTY
PEI;67640;-0,09;730823640;10888;-60;67000;67700;66000;-;PEI;EQTY
PFAVAL;825;-0,6;694657881;837666;-5;836;837;815;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
BOGOTA;38900;0,46;512601760;13209;180;38800;39380;38580;-;BANCO DE BOGOTA;EQTY
PFDAVIGRP;32000;0,57;483811420;15100;180;31800;32400;31800;-;Davivienda Group;EQTY
PROMIGAS;6610;-;466297280;70845;-;6600;6700;6540;-;PROMIGAS;EQTY
GRUBOLIVAR;79860;1,17;404585520;5072;920;80220;80220;78940;-;GRUPO BOLIVAR;EQTY
EXITO;4765;0,21;254539760;53553;10;4780;4780;4705;-;EXITO;EQTY
BHI;371;-0,27;195451816;527914;-1;368;371;368;-;BAC HOLDING INTERNATIONAL CORP;EQTY
TIN;13480;-0,15;147618680;10954;-20;13500;13500;13400;-;TITULARIZADORA COLOMBIANA;EQTY
NUTRESA;313700;-0,09;145797600;465;-280;308020;313980;308020;-;GRUPO NUTRESA;EQTY
TERPEL;17960;-0,44;129981740;7240;-80;18100;18100;17820;-;ORGANIZACION TERPEL;EQTY
GXTESCOL;59600;0,2;84384200;1416;120;59500;59600;59500;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
GRUPOAVAL;832;0,12;74876739;90037;1;829;839;829;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;24600;0,41;53268960;2178;100;24040;24600;24040;-;BANCO DAVIVIENDA;EQTY
CONCONCRET;422;0,72;50814159;120627;3;424;424;418;-;CONCONCRETO S.A;EQTY
BVC;15800;1,41;50518180;3181;220;16140;16140;15800;-;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;3,65;-;43687115,55;11979866;-;3,65;3,65;3,65;-;FABRICATO;EQTY
BBVACOL;210;5;21000000;100000;10;210;210;210;-;BBVA COLOMBIA;EQTY
PFCEMARGOS;11400;-;18593060;1631;-;11400;11400;11400;-;CEMENTOS ARGOS;EQTY
ENKA;19,4;-;10924112,8;586679;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
ETB;75;-;6630816,5;89513;-;75;75;75;-;ETB;EQTY
HCOLSEL;26222,5;-;4498608,5;171;-;26222,5;26222,5;26222,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
