Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2655;-0,19;53314515020;20139348;-5;2645;2665;2630;-;ECOPETROL;EQTY
PFCIBEST;75020;-2,57;49291623900;651975;-1980;77500;77500;75000;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;14900;1,36;22359098380;1504623;200;14700;14980;14700;-;GRUPO ARGOS;EQTY
CEMARGOS;11200;1,82;13179900040;1188957;200;11040;11220;10900;-;CEMENTOS ARGOS;EQTY
GRUPOARGOS;19360;3,42;6003145420;312878;640;18460;19700;18460;-;GRUPO ARGOS;EQTY
CIBEST;87900;0,46;4297245900;49160;400;87660;88300;85500;-;Grupo Cibest S.A.;EQTY
ICOLCAP;23933;0,81;4113826100,5;172196;193;23900;24010;23860;-;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOSURA;58000;3,5;3607968260;63403;1960;56200;58000;56080;-;GRUPO SURA;EQTY
PFGRUPSURA;46740;2,73;3062742940;65522;1240;45600;47080;45600;-;GRUPO SURA;EQTY
PFDAVIGRP;32700;0,93;2403374980;73785;300;32500;32980;32400;-;Davivienda Group;EQTY
GEB;2885;1,41;2369455585;826681;40;2865;2885;2850;-;GRUPO ENERGIA BOGOTA;EQTY
ISA;29420;0,34;2276703180;77425;100;29320;29500;29220;-;ISA INTERCONEXION ELECTRICA;EQTY
CORFICOLCF;21800;1,4;1293035680;59716;300;21320;22000;21300;-;CORFICOLOMBIANA;EQTY
PFAVAL;855;3,89;989453084;1168756;32;832;855;832;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
MINEROS;16980;-;882836400;51878;-;17000;17300;16800;-;MINEROS;EQTY
CONCONCRET;437;1,39;681428051;1541934;6;433;454;433;-;CONCONCRETO S.A;EQTY
CELSIA;4955;1,12;663021725;134273;55;4900;4975;4850;-;CELSIA;EQTY
PEI;68280;1,16;605033120;8894;780;67500;68600;67300;-;PEI;EQTY
BHI;371;-0,27;456762229;1232416;-1;370;374;370;-;BAC HOLDING INTERNATIONAL CORP;EQTY
HCOLSEL;27313,5;2,1;388644402,5;14326;562,5;26856,5;27313,5;26856,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFCORFICOL;18500;-0,54;310343520;16749;-100;18540;18600;18380;-;CORFICOLOMBIANA;EQTY
PFDAVVNDA;24660;0,33;269511280;10991;80;24200;24720;24200;-;BANCO DAVIVIENDA;EQTY
TERPEL;17720;-0,67;219274780;12374;-120;17740;17800;17640;-;ORGANIZACION TERPEL;EQTY
PROMIGAS;6640;0,15;180602570;27204;10;6610;6720;6600;-;PROMIGAS;EQTY
TIN;13480;-0,15;159307300;11822;-20;13500;13500;13440;-;TITULARIZADORA COLOMBIANA;EQTY
EXITO;4730;1,72;144320985;30581;80;4695;4780;4640;-;EXITO;EQTY
BOGOTA;39380;0,72;119638020;3042;280;39440;39440;39380;-;BANCO DE BOGOTA;EQTY
NUTRESA;313880;0,12;119570200;382;380;312000;313880;312000;-;GRUPO NUTRESA;EQTY
GRUPOAVAL;813;0,25;96776381;118906;2;828;828;811;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUBOLIVAR;79600;1,17;87847360;1102;920;80460;80460;78600;-;GRUPO BOLIVAR;EQTY
BVC;15980;3,63;35386880;2228;560;15980;15980;15800;-;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCEMARGOS;11920;1,19;31462020;2639;140;11940;11940;11920;-;CEMENTOS ARGOS;EQTY
GXTESCOL;59600;-;4361350;73;-;59600;59600;59600;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
FABRICATO;3,5;-;2892600;803500;-;3,5;3,5;3,5;-;FABRICATO;EQTY
OCCIDENTE;21000;-;2058000;98;-;21000;21000;21000;-;BANCO DE OCCIDENTE;EQTY
ETB;75;-;495914,5;6810;-;75;75;75;-;ETB;EQTY
ENKA;19,4;-;444606,3;23955;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
