Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2595;-1,33;82090918680;31140989;-35;2655;2680;2590;-;ECOPETROL;EQTY
PFCIBEST;72000;-0,47;17351969980;239874;-340;72340;73140;71520;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;13100;1,08;16662114920;1264022;140;12920;13400;12820;-;GRUPO ARGOS;EQTY
ICOLCAP;23439;0,31;10758209066,5;458185;73;23350;23630;23330;-;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOARGOS;16420;-2,26;9542986920;577675;-380;16800;16860;16400;-;GRUPO ARGOS;EQTY
CIBEST;85280;-4,16;8674003620;99141;-3700;88000;89960;85280;-;Grupo Cibest S.A.;EQTY
PFAVAL;830;-1,66;7259574696;8544703;-14;839;860;830;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
MINEROS;17000;5,2;5174503740;307471;840;16500;17000;16500;-;MINEROS;EQTY
CEMARGOS;11040;1,66;4342564240;397197;180;10860;11040;10820;-;CEMENTOS ARGOS;EQTY
PFGRUPSURA;44600;-0,89;3466071860;77439;-400;45000;45100;44520;-;GRUPO SURA;EQTY
PEI;67700;1,71;2843161760;42178;1140;66500;67700;66000;-;PEI;EQTY
ISA;29500;-3,59;2646351720;88629;-1100;30160;30580;29500;-;ISA INTERCONEXION ELECTRICA;EQTY
CORFICOLCF;20400;-0,58;2329153120;111775;-120;20480;21200;20360;-;CORFICOLOMBIANA;EQTY
GEB;2915;0,34;1831065220;628735;10;2900;2920;2885;-;GRUPO ENERGIA BOGOTA;EQTY
EXITO;4755;-0,94;1662402415;348668;-45;4760;4820;4745;-;EXITO;EQTY
GRUPOSURA;54300;-0,04;1589540880;29068;-20;53580;55000;53580;-;GRUPO SURA;EQTY
PFDAVIGRP;31820;-0,25;1069952900;33598;-80;31800;32100;31800;-;Davivienda Group;EQTY
CELSIA;4930;-0,3;724964815;146946;-15;4925;4950;4920;-;CELSIA;EQTY
PFCORFICOL;18300;0,66;386532560;21189;120;18000;18400;18000;-;CORFICOLOMBIANA;EQTY
BOGOTA;38720;-0,21;314944200;8121;-80;38800;38800;38680;-;BANCO DE BOGOTA;EQTY
GRUBOLIVAR;78940;-0,73;258121800;3264;-580;79120;79240;78800;-;GRUPO BOLIVAR;EQTY
TIN;13500;0,15;244309300;18104;20;13500;13500;13460;-;TITULARIZADORA COLOMBIANA;EQTY
BHI;372;0,81;148518520;398903;3;370;374;370;-;BAC HOLDING INTERNATIONAL CORP;EQTY
CONCONCRET;419;-0,48;145978420;347129;-2;422;425;419;-;CONCONCRETO S.A;EQTY
TERPEL;18040;-0,44;139427460;7743;-80;18000;18100;17940;-;ORGANIZACION TERPEL;EQTY
PROMIGAS;6610;0,15;124000490;18744;10;6600;6700;6600;-;PROMIGAS;EQTY
GRUPOAVAL;831;1,34;66808712;80407;11;813;836;813;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;24500;0,16;35712040;1474;40;23820;24500;23820;-;BANCO DAVIVIENDA;EQTY
BVC;15580;-1,64;33979180;2157;-260;15560;15840;15560;-;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCEMARGOS;11400;3,64;20583780;1808;400;11420;11420;11400;-;CEMENTOS ARGOS;EQTY
NUTRESA;313980;0,03;15664780;50;100;313980;313980;313980;-;GRUPO NUTRESA;EQTY
OCCIDENTE;21000;1,45;13650000;650;300;21000;21000;21000;-;BANCO DE OCCIDENTE;EQTY
FABRICATO;3,65;-6,41;11460645,5;3150000;-0,25;3,65;3,65;3,65;-;FABRICATO;EQTY
ETB;75;-;9611879;128974;-;75;75;75;-;ETB;EQTY
GXTESCOL;59480;-;1965250;33;-;59480;59480;59480;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
HCOLSEL;26222,5;-;1752496,5;66;-;26222,5;26222,5;26222,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ENKA;19,4;-;254282,5;13745;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
