Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFCIBEST;77000;6,65;116143932180;1509522;4800;74500;78500;74240;-;Grupo Cibest S.A.;EQTY
ECOPETROL;2660;-0,75;67769176055;25524095;-20;2680;2700;2635;-;ECOPETROL;EQTY
CIBEST;87500;1,34;16859817040;189974;1160;87300;90280;86660;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;14700;-;14560605180;984579;-;14800;14900;14700;-;GRUPO ARGOS;EQTY
ICOLCAP;23740;1;13066989946;548037;236;24829,5;24829,5;23125;-;FONDO BURSATIL ISHARES COLCAP;EQTY
PFGRUPSURA;45500;3,13;10967012580;238547;1380;44600;46800;44600;-;GRUPO SURA;EQTY
ISA;29320;0,21;6546082560;222039;60;29040;29980;29000;-;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOARGOS;18720;-0,32;6309050800;337099;-60;18800;19020;18480;-;GRUPO ARGOS;EQTY
GEB;2845;-0,7;3670576590;1280879;-20;2885;2885;2845;-;GRUPO ENERGIA BOGOTA;EQTY
CEMARGOS;11000;0,92;3057093660;279378;100;10920;11000;10860;-;CEMENTOS ARGOS;EQTY
GRUPOSURA;56040;3,78;2497092780;44942;2040;54120;56260;54120;-;GRUPO SURA;EQTY
PEI;67500;0,75;2111512780;31261;500;67000;69480;67000;-;PEI;EQTY
PFDAVIGRP;32400;1,25;2063668480;64273;400;32200;32400;31820;-;Davivienda Group;EQTY
CORFICOLCF;21500;1,32;1526984140;70997;280;21260;21900;21260;-;CORFICOLOMBIANA;EQTY
HCOLSEL;26751;2,37;1057643354,5;39410;619,5;26855,5;26880;26750;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
MINEROS;16980;-0,47;885255860;52317;-80;17040;17080;16820;-;MINEROS;EQTY
CELSIA;4900;-;672040955;137120;-;4900;4915;4865;-;CELSIA;EQTY
PFCORFICOL;18600;1,2;520202220;28016;220;18600;18600;18440;-;CORFICOLOMBIANA;EQTY
PFAVAL;823;-0,36;490720498;590387;-3;823;843;820;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
EXITO;4650;-0,11;320356050;68578;-5;4650;4750;4650;-;EXITO;EQTY
CONCONCRET;431;1,89;296682655;691157;8;427;434;425;-;CONCONCRETO S.A;EQTY
TIN;13500;-;247773020;18365;-;13500;13500;13440;-;TITULARIZADORA COLOMBIANA;EQTY
TERPEL;17840;-;174165140;9775;-;17700;18000;17700;-;ORGANIZACION TERPEL;EQTY
BHI;372;-0,53;164013050;439477;-2;375;375;370;-;BAC HOLDING INTERNATIONAL CORP;EQTY
BOGOTA;39100;0,26;150662620;3857;100;39000;39460;38700;-;BANCO DE BOGOTA;EQTY
PROMIGAS;6630;0,3;129837330;19597;20;6620;6700;6600;-;PROMIGAS;EQTY
GRUBOLIVAR;78680;-0,68;101724840;1295;-540;77660;79680;77660;-;GRUPO BOLIVAR;EQTY
PFDAVVNDA;24580;2,85;77709700;3170;680;24000;24700;24000;-;BANCO DAVIVIENDA;EQTY
NUTRESA;313500;-0,15;39103460;125;-480;313500;313500;313480;-;GRUPO NUTRESA;EQTY
PFCEMARGOS;11780;-;36757800;3130;-;11800;11800;11740;-;CEMENTOS ARGOS;EQTY
BVC;15420;-0,64;34450780;2219;-100;15500;15500;15420;-;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;811;-1,34;28070184;34446;-11;811;811;811;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
GXTESCOL;59600;-1,08;8880400;149;-650;59600;59600;59600;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ETB;75;-;6530903,5;88305;-;75;75;75;-;ETB;EQTY
FABRICATO;3,5;-;4657093,56;1304508;-;3,5;3,5;3,5;-;FABRICATO;EQTY
ENKA;19,4;-;1866023,2;101335;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
