Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2680;2,29;49604158465;18948217;60;2600;2680;2590;-;ECOPETROL;EQTY
ICOLCAP;23200;0,9;19210609641;831602;206;23000;23260;23000;-;FONDO BURSATIL ISHARES COLCAP;EQTY
PFCIBEST;73000;1,45;18377601040;253017;1040;72200;73000;71860;-;Grupo Cibest S.A.;EQTY
ISA;29100;1,61;8621896000;297771;460;28720;29100;28600;-;ISA INTERCONEXION ELECTRICA;EQTY
CIBEST;86000;2,38;7562999380;88744;2000;84000;86000;84000;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;12300;0,82;6203907740;506987;100;12180;12300;12140;-;GRUPO ARGOS;EQTY
CEMARGOS;10960;1,86;5902876200;540337;200;10800;11020;10780;-;CEMENTOS ARGOS;EQTY
GRUPOARGOS;16600;0,73;5261345900;319353;120;16440;16920;16300;-;GRUPO ARGOS;EQTY
GEB;2820;0,18;4327181230;1537304;5;2825;2830;2805;-;GRUPO ENERGIA BOGOTA;EQTY
PFGRUPSURA;43780;2,82;3504401580;80886;1200;42680;43860;42680;-;GRUPO SURA;EQTY
CORFICOLCF;19980;0,91;2581277180;129666;180;19500;20080;19500;-;CORFICOLOMBIANA;EQTY
GRUPOSURA;54480;3,14;2327898140;43758;1660;52820;54480;52800;-;GRUPO SURA;EQTY
PFDAVIGRP;31800;-0,62;1977108140;61857;-200;31720;32100;31500;-;Davivienda Group;EQTY
MINEROS;16040;1,52;1418893120;88202;240;16080;16300;15820;-;MINEROS;EQTY
TERPEL;17500;-1,02;1249552940;71408;-180;17800;17800;17400;-;ORGANIZACION TERPEL;EQTY
PFCORFICOL;17940;1,01;1043259380;58543;180;17740;18000;17700;-;CORFICOLOMBIANA;EQTY
PFAVAL;816;2,9;916351165;1134572;23;795;825;789;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
CELSIA;4845;-0,62;665624445;137439;-30;4850;4865;4830;-;CELSIA;EQTY
BOGOTA;37500;0,11;608232760;16239;40;37000;37500;37000;-;BANCO DE BOGOTA;EQTY
PEI;64080;1,71;436828240;6882;1080;62320;64260;62300;-;PEI;EQTY
EXITO;4550;0,44;181835170;40113;20;4500;4585;4500;-;EXITO;EQTY
BHI;363;-0,82;179452970;492735;-3;365;365;363;-;BAC HOLDING INTERNATIONAL CORP;EQTY
TIN;13480;-;149316460;11043;-;13340;13600;13340;-;TITULARIZADORA COLOMBIANA;EQTY
PROMIGAS;6510;0,15;111632470;17189;10;6480;6600;6320;-;PROMIGAS;EQTY
GRUBOLIVAR;78480;-0,2;90091980;1149;-160;76780;80000;76780;-;GRUPO BOLIVAR;EQTY
PROTECCION;80000;2,56;80000000;1000;2000;80000;80000;80000;-;ADM DE FONDOS Y CES PROTECCION;EQTY
BVC;16220;5,32;58367480;3646;820;15900;16220;15900;-;BOLSA DE VALORES DE COLOMBIA;EQTY
PFDAVVNDA;23680;0,42;53968940;2287;100;23580;23680;23500;-;BANCO DAVIVIENDA;EQTY
ETB;70;-2,78;25839715;372253;-2;70;70;70;-;ETB;EQTY
CONCONCRET;420;0,72;23482613;55805;3;424;424;420;-;CONCONCRETO S.A;EQTY
GRUPOAVAL;791;0,13;19155278;24310;1;798;798;791;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
PAZRIO;3,9;-;17550000;4500000;-;3,9;3,9;3,9;-;ACER. PAZ DEL RIO;EQTY
NUTRESA;310000;-1,25;16863540;54;-3920;310000;310000;310000;-;GRUPO NUTRESA;EQTY
HCOLSEL;25500;0,31;12733205,5;499;80;25516,5;25516,5;25500;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GXTESCOL;59000;0,68;8155600;138;400;59200;59200;59000;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ENKA;19,4;-;258268,8;13408;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
PFCEMARGOS;11640;-;169380;15;-;11640;11640;11640;-;CEMENTOS ARGOS;EQTY
